JC_XXXX1_OX_meridian,JC_XXXX1_OX_meridian,JC_XXXX2_OX_meridian,JC_XXXX2_OX_meridian,JC_XXXX3_OX_meridian,JC_XXXX3_OX_meridian
0,161221.972,0,183469.7826,0,176102.1485
1,161256.9132,1,183555.6708,1,176168.0141
2,161295.3623,2,183730.233,2,176141.719
3,161252.0464,3,183914.6363,3,176006.4258
4,161188.2628,4,183850.5929,4,175979.9723
5,161187.8698,5,183537.7583,5,176023.001
6,161098.7464,6,183173.4854,6,176020.2825
7,160937.8157,7,182768.2289,7,175915.2238
8,160718.3745,8,182285.7793,8,175665.7927
9,160422.1358,9,181688.0955,9,175229.6094
10,160113.0993,10,181024.7293,10,174711.1671
11,159873.8925,11,180385.2635,11,174150.6348
12,159709.2944,12,179715.0237,12,173463.1429
13,159650.813,13,178956.3116,13,172698.212
14,159626.7345,14,178194.7165,14,171918.7923
15,159601.256,15,177330.6768,15,171160.0746
16,159569.3985,16,176461.0913,16,170422.1593
17,159527.5672,17,175609.7505,17,169700.1297
18,159452.513,18,174816.4462,18,168946.0646
19,159318.0519,19,174040.5379,19,168082.3626
20,159093.1785,20,173288.9165,20,167182.4855
21,158773.572,21,172468.8496,21,166262.0624
22,158400.1691,22,171565.6528,22,165299.731
23,158034.3789,23,170678.4931,23,164353.5179
24,157680.8993,24,169803.1967,24,163517.381
25,157279.7458,25,168930.0479,25,162726.1554
26,156864.375,26,168097.4537,26,161965.8835
27,156432.8133,27,167245.5002,27,161135.9772
28,156046.0105,28,166392.0362,28,160305.6596
29,155645.5609,29,165483.1211,29,159460.6569
30,155213.8164,30,164527.4651,30,158624.6567
31,154753.5364,31,163527.8321,31,157831.8579
32,154288.847,32,162597.6159,32,157045.0856
33,153789.1501,33,161664.8296,33,156216.343
34,153259.4005,34,160708.6004,34,155336.3685
35,152690.9807,35,159739.6984,35,154437.2402
36,152102.9287,36,158763.1806,36,153473.0797
37,151473.5758,37,157770.021,37,152542.6722
38,150851.526,38,156701.8642,38,151621.5001
39,150292.5389,39,155610.9182,39,150707.6698
40,149765.0121,40,154550.2736,40,149824.0979
41,149205.4779,41,153490.6182,41,148987.3673
42,148614.3089,42,152482.0376,42,148187.6828
43,147974.7191,43,151478.2725,43,147453.9388
44,147301.7729,44,150494.2434,44,146770.7057
45,146586.2077,45,149510.3089,45,146095.7779
46,145859.8517,46,148473.9649,46,145433.0698
47,145138.7012,47,147407.0802,47,144754.7174
48,144430.611,48,146342.9264,48,144035.2851
49,143704.9645,49,145312.7621,49,143306.4938
50,142986.9457,50,144275.6099,50,142557.3999
51,142297.1016,51,143221.9255,51,141777.6131
52,141648.2346,52,142186.1999,52,140984.1039
53,141018.9464,53,141158.5533,53,140167.3481
54,140372.2974,54,140141.5809,54,139366.9602
55,139661.871,55,139092.742,55,138551.7585
56,138898.2122,56,138015.8374,56,137708.2298
57,138095.6019,57,136931.2386,57,136854.4341
58,137275.2399,58,135868.9508,58,136006.9111
59,136430.7277,59,134870.3062,59,135193.7415
60,135586.9541,60,133861.8507,60,134373.1531
